169978069,13677,68994,2
886559536,52650,37337,-2147483648
2129860193,95880,59882,-2147483648
2014539308,12860,61215,-2147483648
-1404078314,13883,44908,-2147483648
-173432361,2046,53655,-2147483648
-316616076,99620,83941,-2147483648
1002996159,10727,78153,-2147483648
-171158564,18593,97957,4
1721518667,92360,4443,1
539243438,98071,56971,-2147483648
-2031181596,49895,62997,-2147483648
1233582713,58315,31933,-2147483648
-49399282,51376,23312,-2147483648
-1342430001,4730,31025,-2147483648
-428827082,64919,17279,-2147483648
1502990647,85811,92159,-2147483648
-1719767966,56518,31378,-2147483648
-1946558188,82472,48255,-2147483648
-165018152,73524,52394,-2147483648
-595136757,43385,58697,-2147483648
-46548038,48823,32217,-2147483648
-2114415126,96634,23977,-2147483648
-1939728253,71314,88573,-2147483648
1426161932,24061,20971,-2147483648
114957930,86203,65172,-2147483648
-1203831664,32823,65654,-2147483648
608854898,5289,13306,-2147483648
-1254090354,14517,82800,-2147483648
-1395304977,44601,53959,5
862577565,30718,11895,-2147483648
-450580588,3530,59396,-2147483648
-1602375550,28928,11111,3
-159403792,16291,44804,-2147483648
-2126860213,94520,61686,-2147483648
-1420193980,70106,8718,-2147483648
380235998,31379,81609,3
-514722501,9991,24744,-2147483648
857372965,57761,24633,7
731305731,96435,21180,-2147483648
-1531849768,60750,39181,-2147483648
-2052124766,70224,12302,4
-628910701,71300,20839,-2147483648
1835776436,30790,79309,-2147483648
-966223141,80210,29405,-2147483648
2064815476,88311,18815,-2147483648
-51961044,51934,83930,-2147483648
-1339341239,72295,46755,-2147483648
-1960780408,2223,7305,-2147483648
-1874222271,92726,26674,-2147483648
552337715,76365,49710,-2147483648
-304187604,81291,82611,1
495827761,5940,79103,-2147483648
-1099577154,35981,12021,-2147483648
1840394292,28869,96607,-2147483648
-801569064,93630,37669,-2147483648
1027648190,895,20373,-2147483648
382311917,40182,17683,-2147483648
-1344089691,4743,34852,-2147483648
-1643212640,31087,83114,-2147483648
2067868433,26827,48506,-2147483648
78951805,92916,67986,-2147483648
-559465520,60272,19094,-2147483648
-1753429907,9032,50225,-2147483648
1232382158,31043,63383,6
1748151999,71406,78428,-2147483648
-41844162,5937,15830,-2147483648
846989425,9913,77361,-2147483648
-316907964,27698,63701,-2147483648
802642787,12389,59158,-2147483648
1266156392,54588,18012,6
1406163864,98507,88979,-2147483648
-1257506380,17827,84225,-2147483648
237340443,82366,64604,-2147483648
1842289882,93406,89435,4
-1279287829,59058,92241,-2147483648
1569749583,1149,98160,-2147483648
-680306892,33964,78444,-2147483648
-1978870324,55711,50608,-2147483648
-52174127,56880,58752,-2147483648
-1255005344,89655,85995,-2147483648
-898181641,61476,23607,1
-2132203288,89192,94274,-2147483648
1414036378,60233,6800,-2147483648
160745253,10721,22438,-2147483648
403318620,85235,18877,-2147483648
915551214,98026,31959,-2147483648
-2066957757,57434,50917,-2147483648
304652355,33533,36422,-2147483648
-1917291996,591,7900,-2147483648
