1535447471,52,67466
354231393,-2147483648,-2147483648
1537437,50,-2147483648
1537466,-2147483648,67466
1537468,50,67466
1537470,50,67466
1537494,-2147483648,67466
1537495,-2147483648,67466
1539138,50,67466
1539140,50,-2147483648
1539142,50,67466
1539144,50,-2147483648
1626655,53,67466
1539169,50,67466
1539171,50,-2147483648
1539173,50,67466
1539200,50,67466
1539202,50,67466
1539204,50,67466
1539206,50,-2147483648
1539231,50,67466
1539261,50,67466
1537248,50,-2147483648
1626657,-2147483648,67466
1537370,50,67466
1537378,-2147483648,67466
1537401,-2147483648,-2147483648
1537405,50,67466
1537409,-2147483648,67466
1537463,50,67466
1537471,50,-2147483648
1537502,50,67466
1539145,-2147483648,-2147483648
1539168,50,67466
1626658,53,67466
1537254,50,67466
1539199,-2147483648,67466
1539230,-2147483648,67466
1539233,50,67466
1539263,50,-2147483648
1537309,50,-2147483648
1537218,50,67466
1537216,-2147483648,67466
1626688,-2147483648,-2147483648
1537285,50,67466
1537222,50,-2147483648
1537316,50,67466
1539176,50,67466
1567045,51,-2147483648
1567107,51,67466
1567161,51,67466
1567169,51,67466
1626713,-2147483648,67466
1567196,-2147483648,67466
1567293,51,67466
1568936,-2147483648,-2147483648
1568967,51,-2147483648
1569021,51,67466
1596836,52,-2147483648
1596898,52,67466
1596952,52,-2147483648
1596960,52,67466
1596987,52,67466
1626715,53,67466
1597084,52,67466
1598727,52,-2147483648
1598758,52,67466
1598812,52,-2147483648
1656410,54,67466
1656449,54,67466
1656511,-2147483648,-2147483648
1657403,54,-2147483648
1657433,-2147483648,-2147483648
1658338,54,-2147483648
1626719,53,67466
1658340,54,67466
1508384,49,-2147483648
1509345,-2147483648,67466
1510306,49,-2147483648
1511300,49,67466
1511329,-2147483648,67466
1511331,49,-2147483648
1511332,49,67466
1511334,49,-2147483648
1511336,49,67466
1626744,53,67466
1511338,49,67466
1511361,49,67466
1511363,49,-2147483648
1512228,49,67466
1513189,-2147483648,67466
1626746,-2147483648,67466
1535447472,52,67466
1626748,-2147483648,-2147483648
1626750,53,-2147483648
1626775,53,67466
1626777,53,67466
1626779,53,67466
1626781,53,67466
1626806,53,-2147483648
1626808,53,67466
1626810,53,67466
1626837,-2147483648,67466
1535447473,52,-2147483648
1626839,53,-2147483648
1626841,53,67466
1626843,53,67466
1626867,-2147483648,-2147483648
1626868,53,67466
1628511,-2147483648,67466
1628513,53,-2147483648
1628515,53,67466
1628517,-2147483648,67466
1628542,53,-2147483648
1535447474,52,67466
1628544,53,67466
1628546,-2147483648,67466
1628575,53,-2147483648
1628577,-2147483648,-2147483648
1628579,53,-2147483648
1628604,53,67466
1628634,53,67466
1626621,53,67466
1626743,53,-2147483648
1626774,53,67466
1535447475,52,-2147483648
1626751,53,67466
1626778,53,-2147483648
1626782,53,-2147483648
1626836,-2147483648,-2147483648
1626844,53,67466
1626875,53,-2147483648
1628518,53,67466
1628541,-2147483648,67466
1628549,53,-2147483648
1628572,53,67466
1535447476,-2147483648,67466
1628603,53,-2147483648
1628606,53,67466
1628636,53,67466
1626682,53,-2147483648
1628573,53,67466
1626619,53,67466
1626591,53,-2147483648
1626589,-2147483648,-2147483648
1626627,-2147483648,67466
1535447477,52,-2147483648
1626689,53,67466
1626595,53,-2147483648
1478189169,50,67466
1478189170,50,-2147483648
1478189171,50,-2147483648
1478189172,50,67466
1478189173,50,67466
1535447478,52,67466
1478189174,50,67466
1478189175,-2147483648,-2147483648
1478189176,50,67466
1478189177,50,67466
-1420775969,50,67466
1537464,-2147483648,67466
1537284,50,-2147483648
1537340,50,67466
1537342,50,67466
1537346,50,67466
1535447479,52,67466
1537371,50,-2147483648
1537373,50,67466
1537375,50,-2147483648
1537377,-2147483648,67466
1537402,-2147483648,-2147483648
1537404,50,67466
1537406,50,67466
1537408,50,67466
1537433,50,67466
1537435,-2147483648,-2147483648
1598726,52,-2147483648
1567193,51,-2147483648
1596897,52,67466
1568993,51,67466
1567286,51,67466
1567197,-2147483648,-2147483648
1598813,52,67466
1597050,52,67466
1567285,51,67466
1568964,51,67466
1597046,52,-2147483648
1597019,52,67466
1567228,51,67466
1597076,52,67466
1567261,51,-2147483648
1597077,-2147483648,67466
1598786,52,-2147483648
1596988,52,-2147483648
1596922,52,67466
1568991,51,-2147483648
1596864,52,67466
1568962,51,-2147483648
1597015,52,-2147483648
1656658,54,-2147483648
1598784,52,67466
1598724,52,67466
1596957,52,67466
1598751,52,-2147483648
1656628,54,67466
1567255,51,67466
1658336,54,-2147483648
1596984,52,-2147483648
1596990,52,67466
1598722,52,-2147483648
1598755,52,-2147483648
1567076,51,67466
1596866,52,67466
1596928,52,-2147483648
1596891,52,67466
1567166,51,67466
1596959,52,-2147483648
1568960,51,-2147483648
1598753,52,-2147483648
1986688484,49,67466
-1420775131,50,-2147483648
-1420775130,50,-2147483648
-533271450,51,67466
-533271449,51,-2147483648
354232231,52,-2147483648
354232232,52,67466
1241735912,53,67466
1241735913,-2147483648,67466
2129239593,54,67466
1511274,49,67466
1511270,49,67466
1511273,-2147483648,-2147483648
1511337,49,-2147483648
1511301,49,67466
1511364,49,67466
1537246,-2147483648,67466
1537282,-2147483648,-2147483648
1537315,-2147483648,67466
1567037,51,67466
1567039,51,67466
1569054,-2147483648,-2147483648
1569052,51,67466
1568959,51,67466
1568990,51,-2147483648
1569024,-2147483648,67466
1569022,51,67466
1568997,51,67466
1568995,51,67466
1568935,51,67466
1568933,51,67466
1568931,51,67466
1568929,51,-2147483648
1567073,51,-2147483648
1567075,51,67466
1567100,51,-2147483648
1567106,51,67466
1567131,51,-2147483648
1567133,51,-2147483648
1567137,51,67466
1567162,51,67466
1567164,51,67466
1567168,-2147483648,-2147483648
1567195,-2147483648,67466
1567199,51,67466
1567224,51,-2147483648
1567226,51,67466
1567257,-2147483648,-2147483648
1567259,-2147483648,67466
1567254,-2147483648,-2147483648
1567262,51,-2147483648
1567192,51,67466
1567200,-2147483648,67466
1567009,51,-2147483648
1567007,51,-2147483648
1567013,51,67466
1596828,52,67466
1596830,52,67466
1598845,-2147483648,67466
