678,0,8,-2147483648,1
760,8,16,-2147483648,-2147483648
140,16,24,-2147483648,3
973,24,32,-2147483648,1
53,32,40,-2147483648,3
708,40,48,47,2
240,48,56,-2147483648,2
776,56,64,-2147483648,3
145,64,72,-2147483648,1
478,72,80,-2147483648,1
195,80,88,51,3
136,88,96,-2147483648,1
759,96,104,-2147483648,1
661,104,112,87,-2147483648
978,112,120,16,1
543,120,128,-2147483648,3
616,128,136,-2147483648,1
426,136,144,-2147483648,-2147483648
838,144,152,1,1
868,152,160,-2147483648,3
602,160,168,-2147483648,1
950,168,176,-2147483648,-2147483648
187,176,184,51,3
983,184,192,-2147483648,-2147483648
294,192,200,-2147483648,1
575,200,208,-2147483648,1
561,208,216,17,1
33,216,224,0,1
640,224,232,-2147483648,1
583,232,240,201,-2147483648
760,240,248,-2147483648,3
110,248,256,-2147483648,-2147483648
97,256,264,-2147483648,1
676,264,272,-2147483648,-2147483648
794,272,280,-2147483648,1
50,280,288,-2147483648,1
861,288,296,-2147483648,3
163,296,304,-2147483648,3
220,304,312,-2147483648,1
163,312,320,-2147483648,1
687,320,328,-2147483648,1
544,328,336,13,1
20,336,344,84,3
398,344,352,5,1
410,352,360,47,2
245,360,368,80,4
835,368,376,-2147483648,2
373,376,384,-2147483648,1
892,384,392,78,-2147483648
966,392,400,17,1
947,400,408,-2147483648,-2147483648
815,408,416,191,-2147483648
289,416,424,-2147483648,2
274,424,432,296,-2147483648
618,432,440,-2147483648,-2147483648
225,440,448,-2147483648,1
125,448,456,293,-2147483648
737,456,464,-2147483648,-2147483648
779,464,472,-2147483648,1
661,472,480,-2147483648,1
188,480,488,-2147483648,1
135,488,496,3,1
36,496,504,-2147483648,2
770,504,512,14,1
523,512,520,-2147483648,3
945,520,528,7,1
811,528,536,-2147483648,2
154,536,544,-2147483648,-2147483648
385,544,552,27,2
88,552,560,-2147483648,1
799,560,568,-2147483648,3
638,568,576,-2147483648,1
616,576,584,-2147483648,1
483,584,592,-2147483648,1
431,592,600,10,1
637,600,608,-2147483648,-2147483648
576,608,616,-2147483648,1
49,616,624,-2147483648,3
430,624,632,-2147483648,1
653,632,640,-2147483648,1
172,640,648,13,1
260,648,656,46,2
409,656,664,-2147483648,1
698,664,672,-2147483648,1
389,672,680,-2147483648,-2147483648
674,680,688,253,-2147483648
456,688,696,-2147483648,-2147483648
550,696,704,-2147483648,4
158,704,712,-2147483648,1
406,712,720,2,1
33,720,728,-2147483648,1
659,728,736,-2147483648,-2147483648
51,736,744,11,1
553,744,752,15,2
73,752,760,-2147483648,1
919,760,768,-2147483648,1
255,768,776,-2147483648,2
463,776,784,-2147483648,2
770,784,792,-2147483648,1
214,792,800,-2147483648,1
906,800,808,9,1
518,808,816,1,1
522,816,824,-2147483648,3
503,824,832,-2147483648,1
970,832,840,-2147483648,1
352,840,848,-2147483648,1
968,848,856,13,1
709,856,864,-2147483648,1
468,864,872,-2147483648,2
274,872,880,56,3
406,880,888,-2147483648,3
616,888,896,-2147483648,3
430,896,904,130,-2147483648
881,904,912,-2147483648,2
864,912,920,-2147483648,1
