4,3,4,69,1,73557,-2147483648,1,-2147483648,-2147483648
7,4,1,54,1,73558,-2147483648,1,-2147483648,-2147483648
10,2,1,72,1,73559,-2147483648,1,-2147483648,-2147483648
9,4,-2147483648,9,1,73560,-2147483648,1,-2147483648,3
15,2,1,73,2,73561,-2147483648,1,-2147483648,-2147483648
9,1,3,56,1,73562,-2147483648,1,-2147483648,-2147483648
15,3,-2147483648,0,1,73563,-2147483648,1,5,-2147483648
10,1,2,61,2,73564,-2147483648,1,-2147483648,-2147483648
15,4,1,42,1,73565,-2147483648,1,-2147483648,-2147483648
4,7,3,56,2,73566,-2147483648,1,-2147483648,-2147483648
3,1,2,65,1,73567,-2147483648,1,-2147483648,-2147483648
15,3,5,26,2,73568,-2147483648,1,-2147483648,-2147483648
77,4,-2147483648,0,2,73569,-2147483648,1,10,-2147483648
5,4,-2147483648,9,2,73570,-2147483648,1,-2147483648,2
14,2,1,76,1,73571,-2147483648,1,-2147483648,-2147483648
2,3,-2147483648,10,2,73572,-2147483648,1,-2147483648,3
8,5,-2147483648,10,1,73573,-2147483648,1,-2147483648,4
8,4,1,33,2,73574,4,1,-2147483648,-2147483648
3,2,-2147483648,1,1,73575,-2147483648,1,18,-2147483648
8,6,-2147483648,16,1,73576,-2147483648,1,-2147483648,9
5,7,6,32,1,73577,4,2,-2147483648,-2147483648
5,7,-2147483648,18,1,73578,-2147483648,1,-2147483648,15
10,4,-2147483648,12,2,73579,-2147483648,1,-2147483648,6
12,6,1,38,2,73580,-2147483648,1,-2147483648,-2147483648
15,3,1,50,1,73581,4,2,-2147483648,-2147483648
3,3,6,23,2,73582,-2147483648,1,-2147483648,-2147483648
15,3,-2147483648,7,2,73583,-2147483648,1,-2147483648,1
9,3,-2147483648,13,1,73584,-2147483648,1,-2147483648,7
7,2,1,28,1,73585,6,1,-2147483648,-2147483648
6,4,-2147483648,4,2,73586,-2147483648,1,-2147483648,-2147483648
15,7,-2147483648,14,1,73587,-2147483648,1,-2147483648,8
6,3,-2147483648,11,1,73588,-2147483648,1,-2147483648,4
5,1,3,35,1,73589,-2147483648,1,-2147483648,-2147483648
5,5,-2147483648,2,1,73590,-2147483648,1,-2147483648,-2147483648
15,4,-2147483648,6,1,73591,-2147483648,1,-2147483648,0
12,3,5,29,1,73592,-2147483648,1,-2147483648,-2147483648
15,4,-2147483648,3,1,73593,-2147483648,1,-2147483648,-2147483648
5,7,5,23,1,73594,3,2,-2147483648,-2147483648
8,2,1,58,1,73595,-2147483648,1,-2147483648,-2147483648
15,3,1,57,2,73596,7,1,-2147483648,-2147483648
15,2,6,50,2,73597,7,1,-2147483648,-2147483648
-2147483648,,6,6,20,1,73598,-2147483648,1,-2147483648,-2147483648
8,7,-2147483648,13,2,73599,-2147483648,1,-2147483648,6
5,6,3,37,1,73600,-2147483648,1,-2147483648,-2147483648
